Nimi;Aeg;Klikke;Laua suurus;Mängu aeg
Kauri;10;18;10;2025-06-05 12:16:39
Kauri1;15;17;10;2025-06-05 12:18:50
Tere;13;17;14;2025-06-05 12:20:33
Kauri2;14;18;14;2025-06-05 12:22:48
Teadmata;11;17;12;2025-06-05 12:23:36
aasdasdasd;16;17;11;2025-06-05 12:24:36
Teadmata;10;17;10;2025-06-05 12:28:23
Teadmata;10;17;10;2025-06-05 12:28:36
Teadmata;10;17;10;2025-06-05 12:29:00
Teadmata;11;17;15;2025-06-05 12:29:18
Teadmata;12;17;12;2025-06-05 12:30:26
proov;19;17;13;2025-06-05 12:30:55
Teadmata;10;17;13;2025-06-05 12:31:32
proovikasklikk;25;18;10;2025-06-05 13:13:35
imelik;20;18;15;2025-06-05 13:15:36
hhhhhhhh;18;17;10;2025-06-05 13:16:47
nmiii;12;18;15;2025-06-05 13:22:29
ggggggggggg;12;17;10;2025-06-05 13:23:33
Teadmata;14;20;15;2025-06-05 13:24:38
Teadmata;10;17;15;2025-06-05 13:24:58
andmebaas1;13;17;10;2025-06-05 14:29:52
andmebaas;13;17;10;2025-06-05 14:31:17
andmebaas;13;20;10;2025-06-05 14:32:44
hahaha;10;17;10;2025-06-05 14:39:33
nii;12;17;11;2025-06-05 14:41:34
Teadmata;12;17;12;2025-06-05 14:41:54
andmebaas2;11;17;13;2025-06-05 14:42:16
andmebaas 5;14;18;14;2025-06-05 14:42:39
andmebaas 15;11;17;15;2025-06-05 14:43:01
naljakas;10;17;10;2025-06-05 14:43:22
tere;10;17;10;2025-06-05 14:44:27
miks nii;12;17;10;2025-06-05 15:54:24
Teadmata;12;17;10;2025-06-05 15:56:54
Teadmata;27;17;12;2025-06-05 15:58:25
hehe;10;17;13;2025-06-05 16:00:14
tere;13;19;13;2025-06-05 16:01:28
Teadmata;24;20;11;2025-06-05 16:03:02
uuued laevad;18;20;10;2025-06-05 16:04:52
Kitsas;12;20;14;2025-06-05 17:40:37
Teadmata;12;20;10;2025-06-05 17:45:15
juhuu;17;20;10;2025-06-10 23:51:46
nii;12;20;10;2025-06-10 23:52:56
kiil;18;23;13;2025-06-11 00:20:19
2123;14;20;10;2025-06-11 00:31:32
159;21;20;11;2025-06-11 00:45:12
852;16;20;10;2025-06-11 00:46:53
8547;16;20;11;2025-06-11 00:49:25
1233;13;20;12;2025-06-11 00:53:20
8547;15;20;13;2025-06-11 01:10:29
kapten;18;20;14;2025-06-11 01:12:01
